Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2012.128737712/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xd8e27dd1fe5b8c92639292f512ab82969f5f3b65a06085cf7c1c06823c1c7307,18523614,1699402727,2023-11-8 0:18,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,5.30E-17,1.07E-13,0.010450374,21.02749766,1889.05,,,Ty For The MEV
0x9d5032712234617e291fab67e4557dd027f6df977ec448fe97ce811bf74d592c,18523614,1699402727,2023-11-8 0:18,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,3.60E-17,7.24E-14,0.010380914,20.8877354,1889.05,,,Ty For The MEV
0x8256a9fd73d76f42d1c1c07acf2f720e90f573d07c20baf12264a2ba4523b945,18523614,1699402727,2023-11-8 0:18,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,1.70E-17,3.42E-14,0.010380565,20.88703308,1889.05,,,Ty For The MEV
0x74216f59a007de822452693c7ba6c6c694a3c23a770b8e43a3fe2913ef63298a,18523614,1699402727,2023-11-8 0:18,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,72.26890291,72.26890291,145414.3364,0.000523567,1.05348436,1889.05,,,Transfer
0xa98a3f539b147e0f1dd94ac1e1381bb9c3fb8a06737f0af7bdeeb1b018a8b736,18523616,1699402751,2023-11-8 0:19,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.24E-16,4.51E-13,0.008879794,17.86728923,1889.05,,,Ty For The MEV
0x1b529f8c659bb91b834c1204196fd9a6ea03ea3d4fb5f3095c4eb6e7b09a2580,18523620,1699402799,2023-11-8 0:19,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.63E-16,5.29E-13,0.008464523,17.03170988,1889.05,,,Ty For The MEV
0x001fb7ef53ee076f6d8f96e05ab2f2074e305c4591bcdcf10596b26a8e64803c,18523978,1699407107,2023-11-8 1:31,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,4.60E-17,9.26E-14,0.008970523,18.04984772,1889.05,,,Ty For The MEV
0x9d06ab2a09b70c82790f357bc84a68309cc9c92459f2e8dc74530364bd5ac926,18524486,1699413227,2023-11-8 3:13,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.00E-17,4.02E-14,0.018207321,36.63547384,1889.05,Error(1),execution reverted,Ty For The MEV
0x434e070e573240297cb8402966b728573aca4e7b747f161a25c731a0e1caf940,18525080,1699420391,2023-11-8 5:13,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.92E-15,2.00E-11,0.008165458,16.42995324,1889.05,,,Ty For The MEV
0xc552b77eabfd9098d7508a7a4a3cdb6ae8d7546da51d5b199e831f8e3af47b5e,18525080,1699420391,2023-11-8 5:13,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,0.840645154,0,1691.486272,0.000388171,0.781050409,1889.05,,,Transfer
